author,paintname
Burne-Jones  Sir Edward Coley  Bt, Study of a Reclining Figure
Burne-Jones  Sir Edward Coley  Bt, Head of a Girl
Burne-Jones  Sir Edward Coley  Bt, Two Studies for the Head of the King in ‘King Cophetua and the Beggar Maid’
Burne-Jones  Sir Edward Coley  Bt, Head of a Woman: ?Georgiana Burne-Jones
Burne-Jones  Sir Edward Coley  Bt, Study of Heads for a Pietà
Burne-Jones  Sir Edward Coley  Bt, Head of a Girl
Burne-Jones  Sir Edward Coley  Bt, Figure Study
Burne-Jones  Sir Edward Coley  Bt, Study of the Head of a Female Attendant for ‘The Adoration of the Kings’
Burne-Jones  Sir Edward Coley  Bt, Study of Iseult for ‘The Marriage of Sir Tristram’. Verso: Figure of Sir Tristram
Burne-Jones  Sir Edward Coley  Bt, Composition Study for ‘Clerk Saunders’
Burne-Jones  Sir Edward Coley  Bt, Head of a Man
Burne-Jones  Sir Edward Coley  Bt, Study for Tile of the ‘Story of Beauty and the Beast’. Verso: Study for ‘Wine of Circe’
Burne-Jones  Sir Edward Coley  Bt, Study for ‘Pluto and Proserpine Listening to the Music of Orpheus’
Burne-Jones  Sir Edward Coley  Bt, Sketch of Two Seated Figures: ‘Chant d’Amour’
Burne-Jones  Sir Edward Coley  Bt, Sketch of Two Seated Figures for ?‘The Backgammon Players’
Blake  William, Frontispiece: Thenot and Colinet
Blake  William, Thenot Remonstrates with Colinet
Blake  William, Thenot and Colinet Converse Seated between Two Trees
Blake  William, Thenot Remonstrates with Colinet; Lightfoot in the Distance
Blake  William, Thenot  with Colinet Waving his Arms in Sorrow
Blake  William, The Blighted Corn
Blake  William, ‘Nor Fox  nor Wolf  nor Rat among our Sheep’
Blake  William, Sabrina’s Silvery Flood
Blake  William, Colinet’s ‘Fond Desire Strange Lands to Know’
Blake  William, ‘A Rolling Stone is ever Bare of Moss’
Blake  William, Colinet Rests by a Stream at Night
Blake  William, Colinet with his Shepherd’s Pipe  Mocked by Two Boys
Blake  William, ‘For him Our Yearly Wakes and Feasts We Hold’
Blake  William, Thenot and Colinet Folding their Flocks together at Sunset
Blake  William, Thenot and Colinet at Supper
Blake  William, ‘With Songs the Jovial Hinds Return from Plow’
Blake  William, ‘And Unyok’d Heifers  Loitering Homeward  Low’
Burne-Jones  Sir Edward Coley  Bt, Studies for a Nativity
Burne-Jones  Sir Edward Coley  Bt, Design for a Window: Ethelbert
Burne-Jones  Sir Edward Coley  Bt, Design for a Window: St James the Greater
Callow  William, Frankfurt
Callow  William, Frauenkirche  Nuremberg
Callow  William, Giessen
Callow  William, Prague
Callow  William, Frauenkirche  Prague
Callow  William, Cochem
Callow  William, Maximilianstrasse  Augsburg
Callow  William, Haupt Markt and St Sebald  Nuremberg
Callow  William, Markt  Coburg
Callow  William, Coburg
Callow  William, Frankfurt
Callow  William, Rathaus  Hanover
Callow  William, Unidentified Market Place  ? Lubeck or Leipzig
Callow  William, Royal Palace  Dresden
Callow  William, Rathaus  Gotha
Callow  William, Rathaus  Eisenach
Callow  William, Quai on the Moselle
Callow  William, Place St Pharailde  Ghent
Callow  William, Vegetable Market  Ghent
Callow  William, Rotterdam
Callow  William, Namur
Callow  William, St Paul  Antwerp
Callow  William, Old Palais de Justice  Malines
Callow  William, St Michael and Belfry  Ghent
Callow  William, Botzen
Callow  William, Innsbruck
Calvert  Edward, The Bride
Calvert  Edward, The Sheep of his Pasture
Calvert  Edward, The Ploughman
Calvert  Edward, The Brook
Calvert  Edward, The Chamber Idyll
Calvert  Edward, The Cyder Feast
Calvert  Edward, The Return Home
Calvert  Edward, The Bacchante  engraved by Welby Sherman
Calvert  Edward, The Flood
Calvert  Edward, Ideal Pastoral Life
Cox  David, Windmill. Verso: Foliage (?)
Cox  David, Horse and Barge. Verso: tracing of horse from recto
Cox  David, Horse’s Head
Cox  David, Head and Shoulders of a Horse
Cox  David, Two Naval Pensioners with Shipping Behind
Cox  David, Seated Naval Pensioner. Verso: indecipherable sketch
Cox  David, Two Naval Pensioners. Verso: traces of pencil drawing
Cox  David, Naval Pensioner
Cox  David, Bridge and Castle
Cox  David, Caernarvon Castle
Cox  David, Landscape
Cox  David, Landscape with Flock of Sheep
Cox  David, Open Landscape
Cox  David, A Bridge
Cox  David, Landscape with Windmill and Man Ploughing
Cox  David, Landscape with Windmill
Cox  David, Landscape
Cox  David, Sketch for ‘Crossing Lancaster Sands’
Cox  David, Costume Study: Peasant Woman
Cox  David, Costume Study: Woman with Umbrella. Verso: erased figure study
Cox  David, Studies of Farm Hands and a Coat on a Fence. Verso: tracing of farm boy from recto
Cox  David, Four Figure Studies. Verso: Landscape with Water
Gainsborough  Thomas, Wooded Landscape with Three Cows at a Pool
Haydon  Benjamin Robert, Study for ‘The Judgement of Solomon’. Verso: Study of a Head
Haydon  Benjamin Robert, Sir George Beaumont
Hills  Robert, Study of Cows
Hills  Robert, Sheep on the Road
Hills  Robert, Cows in a Landscape
Hills  Robert, Study of a Horse
Hughes  Arthur, Old Sal for ‘At the Back of the North Wind’
Hughes  Arthur, The Drunken Cabman for ‘At the Back of the North Wind’
Hughes  Arthur, The Wicked Fairy for ‘At the Back of the North Wind’
Hunt  William Henry, Landscape Sketch
Hunt  William Henry, Landscape Sketch
Landseer  Sir Edwin Henry, Low Life
Landseer  Sir Edwin Henry, High Life
Leighton  Lord Frederic, The Spies Escape
Leighton  Lord Frederic, Cain and Abel
Leighton  Lord Frederic, Samson and the Lions
Leighton  Lord Frederic, Abram and the Angel
Leighton  Lord Frederic, Samson at the Mill
Leighton  Lord Frederic, Eliezer and Rebekah
Leighton  Lord Frederic, Moses Views the Promised Land
Leighton  Lord Frederic, Death of the First Born
Leighton  Lord Frederic, Samson Carrying the Gate
Leslie  Charles Robert, Falstaff Personating the King
Leslie  Charles Robert, Head of Falstaff
Leslie  Charles Robert, Head of Prince Hal
Millais  Sir John Everett  Bt, The Lost Sheep
Millais  Sir John Everett  Bt, The Pharisee and the Publican
Millais  Sir John Everett  Bt, The Wise Virgins
Millais  Sir John Everett  Bt, The Unjust Judge and the Importunate Widow
Millais  Sir John Everett  Bt, The Leaven
Millais  Sir John Everett  Bt, The Rich Man and Lazarus
Millais  Sir John Everett  Bt, The Labourers in the Vineyard
Millais  Sir John Everett  Bt, The Marriage Feast
Millais  Sir John Everett  Bt, The Sower
Millais  Sir John Everett  Bt, The Lost Piece of Silver
Millais  Sir John Everett  Bt, The Foolish Virgins
Millais  Sir John Everett  Bt, The Importunate Friend
Millais  Sir John Everett  Bt, The Pearl of Great Price
Millais  Sir John Everett  Bt, The Tares
Millais  Sir John Everett  Bt, The Good Shepherd
Millais  Sir John Everett  Bt, The Wicked Husbandman
Millais  Sir John Everett  Bt, The Good Samaritan
Millais  Sir John Everett  Bt, The Unmerciful Servant
Millais  Sir John Everett  Bt, The Hidden Treasure
Millais  Sir John Everett  Bt, The Prodigal Son
Millais  Sir John Everett  Bt, Study for ‘The Black Brunswicker’
Millais  Sir John Everett  Bt, Study for ‘The Black Brunswicker’
Millais  Sir John Everett  Bt, Study for ‘The Black Brunswicker’
Morris  William, An Angel with a Harp
Morris  William, An Angel with a Pipe
Morris  William, A Girl with a Flute
Morris  William, Design for Tapestry
Morris  William, The Archangel Raphael
Morris  William, The Archangel Gabriel
Müller  William James, Lycia: A Burdock
Müller  William James, Lycia: A Xanthian Youth
Müller  William James, Lycia: A Xanthian Boy with a Bow
Müller  William James, Lycia: Women in Near Eastern Dress
Poynter  Sir Edward, Joseph Presents his Father to Pharoah
Poynter  Sir Edward, Moses Keeping Jethro’s Sheep
Poynter  Sir Edward, Moses and Aaron before Pharoah
Poynter  Sir Edward, Pharoah Honours Joseph
Poynter  Sir Edward, Moses Strikes the Rock
Poynter  Sir Edward, By the Waters of Babylon
Poynter  Sir Edward, Miriam
Poynter  Sir Edward, Daniel’s Prayer
Poynter  Sir Edward, Joseph before Pharoah
Poynter  Sir Edward, Joseph Distributes Corn
Poynter  Sir Edward, The Israelites in Egypt: Water Carriers
Poynter  Sir Edward, Moses Slaying the Egyptians
Reynolds  Sir Joshua, The Holy Family with the Infant St John
Richmond  George, Fettered Nude Figure Reclining by a Rock
Rooke  Thomas Matthews, Ruth and Naomi
Rooke  Thomas Matthews, Ruth and Boaz
Rooke  Thomas Matthews, Naomi  Ruth and Obed
Rossetti  Dante Gabriel, David
Rossetti  Dante Gabriel, The Adoration
Rossetti  Dante Gabriel, King David
Rossetti  Dante Gabriel, Fanny Cornforth
Rossetti  Dante Gabriel, Study of a Man Smoking a Long Pipe
Sandys  Frederick, Melancholia
Sandys  Frederick, Study for Illustration
Sandys  Frederick, Study for Illustration
Sargent  John Singer, Dorothy Barnard
Sargent  John Singer, Polly Barnard
Smith  Sidney Robert James, Project for the Facade of the Tate Gallery
Smith  Sidney Robert James, Project for the Facade of the Tate Gallery
Stevens  Alfred, Studies of Angels etc. for the Dome of St Paul’s
Stothard  Thomas, The First Drawing ... made for Ritson
Stothard  Thomas, Sketch for ‘The Pilgrimage to Canterbury’  with studies of heads  figures on horseback  and two group sketches
Stothard  Thomas, Sketch for ‘The Pilgrimage to Canterbury’  with a compositional sketch  a key to the figures  and studies of heads and figures
Stothard  Thomas, Preliminary Version (?or Later Replica) of Finished Composition (N01163)
Turner  Joseph Mallord William, The Death of Actaeon  with a Distant View of Montjovet  Val d’Aosta
Turner  Joseph Mallord William, A Mountain Stream  Perhaps Bolton Glen
Turner  Joseph Mallord William, Frontispiece
Turner  Joseph Mallord William, Frontispiece  engraved by J.C. Easling
Turner  Joseph Mallord William, Bridge and Cows
Turner  Joseph Mallord William, Bridge and Cows  engraved by Charles Turner
Turner  Joseph Mallord William, Woman and Tambourine
Turner  Joseph Mallord William, Woman and Tambourine  engraved by Charles Turner
Turner  Joseph Mallord William, Scene on the French Coast
Turner  Joseph Mallord William, Scene on the French Coast  engraved by Charles Turner
Turner  Joseph Mallord William, Basle
Turner  Joseph Mallord William, Basle  engraved by Charles Turner
Turner  Joseph Mallord William, Jason
Turner  Joseph Mallord William, Jason  engraved by Charles Turner
Turner  Joseph Mallord William, The Strawyard
Turner  Joseph Mallord William, The Straw Yard  engraved by Charles Turner
Turner  Joseph Mallord William, The Castle above the Meadows
Turner  Joseph Mallord William, The Castle above the Meadows  engraved by Charles Turner
Turner  Joseph Mallord William, Mount St Gothard
Turner  Joseph Mallord William, Mt St Gothard  engraved by Charles Turner
Turner  Joseph Mallord William, Ships in a Breeze
Turner  Joseph Mallord William, Ships in a Breeze  engraved by Charles Turner
Turner  Joseph Mallord William, Holy Island Cathedral
Turner  Joseph Mallord William, Holy Island Cathedral  engraved by Charles Turner
Turner  Joseph Mallord William, Pembury Mill  Kent
