title
32 in 1 -1988
3-D Tic-Tac-Toe 1980
Action Pak 1981
Adventure 1979
Air-Sea Battle 1977
Alpha Beam with Ernie 1983
Asterix 1983
Asteroids 1981
Atari Video Cube 1982
Backgammon 1979
Back To School Pak 1978
Basic Math AKA Fun With Numbers 1977
Basic Programming 1979
Basketball 1978
Battlezone 1983
Berzerk 1982
Big Birds Egg Catch 1983
Blackjack 1977
Bowling 1979
Brain Games 1978
Breakout 1978
Canyon Bomber 1979
Casino 1978
Centipede 1982
Circus Atari 1980
Codebreaker 1978
Combat 1977
Concentration aka A Game of Concentration 1978
Cookie Monster Munch 1983
Crazy Climber 1982
Crossbow 1987
Crystal Castles 1983
Dark Chambers 1988
Defender 1982
Defender II 1988
Demons to Diamonds 1982
Desert Falcon 1987
Diagnostic Cartridge 
Dig Dug 1983
Dodge Em 1980
Double Dunk 1989
E.T. the Extra-Terrestrial 1982
Fatal Run 1990
Flag Capture 1978
Football 1978
Frog Pond 
Galaxian 1983
Golf 1980
Gravitar 1983
Gremlins 1984
Hangman 1978
Haunted House 1982
Home Run 1978
Human Cannonball 1979
Hunt &amp; Score (see Concentration) 1978
Ikari Warriors 1989
Indy 500 1977
Joust 1983
Jr. Pac-Man 1986
Jungle Hunt 1983
Kangaroo 1983
Klax 1990
Krull 1983
Mario Bros. 1983
Math Gran Prix 1982
Maze Craze: A Game of Cops and Robbers 1978
Midnight Magic 1986
Millipede 1984
Miniature Golf 1979
Missile Command 1981
Moon Patrol 1983
MotoRodeo 1990
Ms. Pac-Man 1983
Night Driver 1978
Obelix 1983
Off the Wall 1989
Oscars Trash Race 1983
Othello 1980
Outlaw 1978
Pac-Man 1982
Pel̩s Soccer 1980
Pengo 1984
Pepsi Invaders 1983
Phoenix 1982
Pigs in Space 1983
Polo 1983
Pole Position 1983
Quadrun 1983
Racing Pak 1982
Radar Lock 1989
Raiders of the Lost Ark 1982
RealSports Baseball 1982
RealSports Boxing 1987
RealSports Football 1982
RealSports Soccer 1983
RealSports Tennis 1983
RealSports Volleyball 1982
Road Runner 1989
Rubiks Cube 1983
Secret Quest 1989
Sentinel 1990
Signal Tracing Cartridge -
Sky Diver 1979
Slot Machine 1979
Slot Racers 1978
Snoopy and the Red Baron 1983
Solaris 1986
Sorcerers Apprentice 1983
Space Invaders 1980
Space War 1978
Sprintmaster 1988
Stargate 1984
Star Raiders 1982
Star Ship 1977
Steeplechase 1980
Stellar Track 1981
Street Racer 1977
Submarine Commander 1982
Super Baseball 1988
Super Breakout 1978
Super Football 1988
Superman 1978
Surround 1977
Swordquest: Earthworld 1982
Swordquest: Fireworld 1983
Swordquest: Waterworld 1983
Taz 1983
Track &amp; Field 1983
Vanguard 1982
Video Checkers 1980
Video Chess 1979
Video Olympics 1977
Video Pinball 1980
Warlords 1981
Xenophobe 1990
Yars Revenge 1982
Acid Drop 1992
Actionauts 2008
The Activision Decathlon 1983
Adventures of Tron 1982
Airlock 1982
Air Raid 1982
Air Raiders 1982
Alien 1982
Aliens Return 1983
Amidar 1982
Armor Ambush 1982
Artillery Duel/Chuck Norris Superkicks 1983
Artillery Duel/Ghost Manor 1983
Artillery Duel/Spikes Peak 1983
Artillery Duel 1983
Assault 1983
Astroblast 1982
Atlantis 1982
Atlantis II 1982
Bachelor Party 1982
Bachelorette Party 1982
Bank Heist 1983
Barnstorming 1982
Beamrider 1983
Beany Bopper 1982
Beat Em and Eat Em 1983
Berenstain Bears 1983
Bermuda Triangle 1982
Birthday Mania 1984
Blue Print 1983
BMX Airmaster 1989
Bobby Is Going Home 1983
Boing! 1983
Boxing 1980
Bridge 1981
Buck Rogers: Planet of Zoom 1983
Bugs 1982
Bumper Bash 1983
Bump n Jump 1983
BurgerTime 1982
Burning Desire 1983
Busy Police 1983
Cakewalk 1983
California Games 1987
Carnival 1982
Cathouse Blues 1982
Challenge 
Challenge of Nexar 1982
Chase the Chuck Wagon 1983
Checkers 1981
China Syndrome 1983
Chopper Command 1982
Chuck Norris Superkicks/Ghost Manor 1983
Chuck Norris Superkicks/Spikes Peak 1983
